Type,Date,Bill Number,Discount,Subtotal,Delivery Amt,Total Bill,Channel,Customer ID,Dish Details
Dine In,2018-06-01,20083943136,0,386,0,386,-,UnKnown,"Tandoori Roti (QTY-1.000),Tandoori Roti (QTY-1.000),Tandoori Roti (QTY-1.000),Tawa Roti (QTY-1.000),Tawa Roti (QTY-1.000),Tawa Roti (QTY-1.000),Tawa Roti (QTY-1.000),Tawa Roti (QTY-1.000),Kadhai Chicken (QTY-1.000)"
Home Delivery,2018-06-01,20083943464,0,160,0,160,Zomato Online,249028100674,Hyderabadi Mutton Dum Biryani (QTY-1.000)
Dine In,2018-06-01,20083943792,0,206,0,206,-,UnKnown,"Tandoori Roti (QTY-1.000),Tandoori Roti (QTY-1.000),Tandoori Roti (QTY-1.000),Chicken Tikka Masala (QTY-1.000)"
Dine In,2018-06-01,20083944120,0,460,0,460,-,UnKnown,"Plain Rice (QTY-2.000),Chicken Tikka Masala (QTY-1.000),Fish Curry (QTY-1.000)"
Home Delivery,2018-06-01,20083944448,0,432,0,432,Zomato Online,69427966106,"Tandoori Roti (QTY-6.000),Jeera Rice (QTY-1.000),muttor Mushroom (QTY-1.000),Chicken Handi (QTY-1.000)"
Take Away,2018-06-01,20083944776,0,390,0,390,-,UnKnown,"Plain Rice (QTY-1.000),Butter Chicken (QTY-1.000),Dhaniya Chicken (QTY-1.000)"
Take Away,2018-06-01,20083945104,0,180,10,190,-,304606418279,"Tawa Roti (QTY-1.000),Tawa Roti (QTY-1.000),Tawa Roti (QTY-1.000),Tawa Roti (QTY-1.000),Tawa Roti (QTY-1.000),Tawa Roti (QTY-1.000),Chicken Curry (QTY-1.000)"
Dine In,2018-06-01,20083945432,0,555,0,555,-,UnKnown,"Tandoori Roti Butter (QTY-1.000),Tandoori Roti Butter (QTY-1.000),Tandoori Roti Butter (QTY-1.000),Tandoori Roti Butter (QTY-1.000),Tandoori Roti Butter (QTY-1.000),Tandoori Roti Butter (QTY-1.000),Tandoori Roti Butter (QTY-1.000),Tandoori Roti Butter (QTY-1.000),Tandoori Roti Butter (QTY-1.000),Fish Fry (QTY-1.000),Butter Chicken (QTY-1.000),water bottle (QTY-1.000)"
Home Delivery,2018-06-01,20083945760,0,360,0,360,Zomato Online,248943910316,"Garlic Nan (QTY-2.000),Keema Masala (QTY-1.000),Mutton Bati (QTY-1.000)"
Home Delivery,2018-06-01,20083946088,0,160,0,160,Zomato Online,249224643898,Hyderabadi Chicken Fry Piece Biryani (QTY-1.000)
Home Delivery,2018-06-01,20083946416,0,438,0,438,Zomato Online,69428028602,"Tandoori Roti (QTY-14.000),Plain Rice (QTY-1.000),Chicken Home Style (QTY-1.000)"
Home Delivery,2018-06-01,20083946744,0,378,0,378,Zomato Online,246127156169,"Tandoori Roti (QTY-14.000),Dal tadhka (QTY-1.000),Aloo Gobhi (QTY-1.000)"
Home Delivery,2018-06-01,20083947072,0,160,0,160,Zomato COD,248949288382,Hyderabadi Chicken Fry Piece Biryani (QTY-1.000)
Home Delivery,2018-06-01,20083947400,0,225,0,225,Zomato Online,69427933649,"Tandoori Roti Butter (QTY-5.000),Mutton Bhuna (QTY-1.000)"
Home Delivery,2018-06-01,20083947728,0,230,0,230,Zomato COD,69438915058,"Chole Bathure (QTY-1.000),Veg Biryani (QTY-1.000)"
Dine In,2018-06-01,20083948056,0,1245,0,1245,-,UnKnown,"Chicken Amritsari Tikka (QTY-1.000),Chicken Malai Tikka (QTY-1.000),Tandoori Roti Butter (QTY-1.000),Tandoori Roti Butter (QTY-1.000),Tandoori Roti Butter (QTY-1.000),Tandoori Roti Butter (QTY-1.000),Tandoori Roti Butter (QTY-1.000),Tandoori Roti Butter (QTY-1.000),Tandoori Roti Butter (QTY-1.000),Tandoori Roti Butter (QTY-1.000),Tandoori Roti Butter (QTY-1.000),Tandoori Roti Butter (QTY-1.000),Tandoori Roti Butter (QTY-1.000),Tandoori Roti Butter (QTY-1.000),Tandoori Roti Butter (QTY-1.000),Tandoori Roti Butter (QTY-1.000),Tandoori Roti Butter (QTY-1.000),Hyderabadi Chicken Fry Piece Biryani (QTY-1.000),Butter Chicken (QTY-1.000),Chicken Handi (QTY-1.000)"
Take Away,2018-06-01,20083948384,0,600,20,620,-,UnKnown,"Tandoori Chicken (QTY-1.000),Hyderabadi Chicken Fry Piece Biryani (QTY-1.000),Mutton Bati (QTY-1.000)"
Dine In,2018-06-01,20083948712,0,200,0,200,-,UnKnown,"Butter nan (QTY-1.000),Butter nan (QTY-1.000),Plain Rice (QTY-1.000),Egg Curry (QTY-1.000)"
Home Delivery,2018-06-01,20083949040,0,610,0,610,Zomato Online,69427866224,"Chicken Afghani Tikka (QTY-1.000),Lachchha Paratha (QTY-5.000),Chicken Tikka Masala (QTY-1.000)"
Dine In,2018-06-01,20083949368,0,385,0,385,-,UnKnown,"Butter nan (QTY-1.000),Butter nan (QTY-1.000),Butter nan (QTY-1.000),Veg Biryani (QTY-1.000),muttor Mushroom (QTY-1.000),water bottle (QTY-1.000)"
Dine In,2018-06-01,20083949696,0,460,0,460,-,UnKnown,"Tandoori Roti Butter (QTY-1.000),Tandoori Roti Butter (QTY-1.000),Tandoori Roti Butter (QTY-1.000),Tandoori Roti Butter (QTY-1.000),Tandoori Roti Butter (QTY-1.000),Tandoori Roti Butter (QTY-1.000),Tandoori Roti Butter (QTY-1.000),Tandoori Roti Butter (QTY-1.000),Hyderabadi Chicken Fry Piece Biryani (QTY-1.000),Chicken Handi (QTY-1.000),water bottle (QTY-1.000)"
Dine In,2018-06-01,20083950024,0,416,0,416,-,UnKnown,"Tawa Roti (QTY-1.000),Tawa Roti (QTY-1.000),Tawa Roti (QTY-1.000),Butter Tawa Roti (QTY-1.000),Butter Tawa Roti (QTY-1.000),Butter Tawa Roti (QTY-1.000),Hyderabadi Mutton Dum Biryani (QTY-1.000),Mutton Home Style (QTY-1.000),water bottle (QTY-1.000),water bottle (QTY-1.000)"
Dine In,2018-06-02,20083950352,0,170,0,170,-,UnKnown,"Veg Hot n Sour (QTY-1.000),Masala Cheese (QTY-1.000)"
Home Delivery,2018-06-02,20083950680,0,178,0,178,Zomato Online,249025404697,"Tandoori Roti (QTY-4.000),Chicken Home Style (QTY-1.000)"
Home Delivery,2018-06-02,20083951008,0,180,0,180,Zomato Online,249229172750,Butter Chicken (QTY-1.000)
Home Delivery,2018-06-02,20083951336,0,270,0,270,Zomato Online,35326922832,"Butter nan (QTY-2.000),Dhaniya Chicken (QTY-1.000)"
Home Delivery,2018-06-02,20083951664,0,180,0,180,Zomato Online,249229185119,"Chole Bathure (QTY-1.000),rajma rice (QTY-1.000)"
Dine In,2018-06-02,20083951992,0,160,0,160,-,UnKnown,"water bottle (QTY-1.000),water bottle (QTY-1.000),water bottle (QTY-1.000),water bottle (QTY-1.000),Cold Drink (QTY-1.000),Cold Drink (QTY-1.000)"
Home Delivery,2018-06-02,20083952320,0,160,0,160,Zomato Online,69427866751,Hyderabadi Chicken Fry Piece Biryani (QTY-1.000)
Dine In,2018-06-02,20083952648,0,100,0,100,-,38271357206,"Masala Maggi (QTY-1.000),Masala Cheese Maggi (QTY-1.000)"
Home Delivery,2018-06-02,20083952976,0,195,0,195,Zomato COD,246127156386,"Tandoori Roti Butter (QTY-3.000),Paneer Paratha (QTY-1.000),Egg Curry (QTY-1.000)"
Dine In,2018-06-02,20083953304,0,260,0,260,-,UnKnown,"Hyderabadi Chicken Fry Piece Biryani (QTY-1.000),chole rice (QTY-1.000)"
Dine In,2018-06-02,20083953632,0,460,0,460,-,UnKnown,"Tawa Roti (QTY-1.000),Tawa Roti (QTY-1.000),Tawa Roti (QTY-6.000),Hyderabadi Chicken Fry Piece Biryani (QTY-1.000),Chicken Handi (QTY-1.000),water bottle (QTY-1.000),Cold Drink (QTY-1.000)"
Home Delivery,2018-06-02,20083953960,0,300,0,300,Zomato Online,249225350357,"Plain nan (QTY-3.000),Chicken Seekh Kebab (QTY-1.000),Chicken Curry (QTY-1.000)"
Dine In,2018-06-02,20083954288,0,180,0,180,-,UnKnown,"Hyderabadi Chicken Fry Piece Biryani (QTY-1.000),Cold Drink s (QTY-1.000)"
Dine In,2018-06-02,20083954616,0,60,0,60,-,UnKnown,Masala Cheese Maggi (QTY-1.000)
Dine In,2018-06-02,20083954944,0,370,0,370,-,UnKnown,"Tandoori Roti Butter (QTY-1.000),Tandoori Roti Butter (QTY-1.000),Tandoori Roti Butter (QTY-1.000),Tandoori Roti Butter (QTY-1.000),Tandoori Roti Butter (QTY-1.000),Tandoori Roti Butter (QTY-1.000),Egg Curry (QTY-1.000),Butter Chicken (QTY-1.000)"
Home Delivery,2018-06-02,20083955272,0,210,0,210,Zomato COD,248949286305,"Jeera Rice (QTY-1.000),Mutton Rogan Josh (QTY-1.000)"
Dine In,2018-06-02,20083955600,0,50,0,50,-,UnKnown,"Tea (QTY-1.000),Tea (QTY-1.000),Tea (QTY-1.000),Tea (QTY-1.000),Tea (QTY-1.000)"
Dine In,2018-06-02,20083955928,0,40,0,40,-,UnKnown,"Tea (QTY-1.000),Tea (QTY-1.000),Tea (QTY-1.000),Tea (QTY-1.000)"
Dine In,2018-06-02,20083956256,0,320,0,320,-,UnKnown,"Garlic Nan (QTY-1.000),Garlic Nan (QTY-1.000),Jeera Rice (QTY-1.000),Butter Chicken (QTY-1.000),water bottle (QTY-1.000)"
Dine In,2018-06-02,20083956584,0,40,0,40,-,UnKnown,Cold Drink (QTY-1.000)
Home Delivery,2018-06-02,20083956912,0,100,0,100,Zomato Online,248943904240,"Onion salad (QTY-1.000),Chole Bathure (QTY-1.000)"
Home Delivery,2018-06-02,20083957240,0,160,0,160,Zomato COD,249229166364,"Chicken Garlic Tikka (QTY-1.000),Omlette (QTY-1.000)"
Dine In,2018-06-02,20083957568,0,60,0,60,-,UnKnown,Masala Cheese Maggi (QTY-1.000)
Dine In,2018-06-02,20083957896,0,20,0,20,-,UnKnown,water bottle (QTY-1.000)
Take Away,2018-06-02,20083958224,0,1200,40,1240,-,249229169991,Mutton Rogan Josh (QTY-4.000)
Home Delivery,2018-06-02,20083958552,0,190,0,190,Zomato Online,248943908611,"Butter nan (QTY-2.000),Dal Makhani (QTY-1.000)"
Home Delivery,2018-06-02,20083958880,0,300,0,300,Zomato Online,248949302022,Hyderabadi Chicken Fry Piece Biryani (QTY-1.000)
Take Away,2018-06-02,20083959208,180,300,0,300,-,304614580827,"Kaju chicken (QTY-1.000),Fish Tikka (QTY-1.000)"
Dine In,2018-06-02,20083959536,0,120,0,120,-,UnKnown,Veg pulav (QTY-1.000)
Home Delivery,2018-06-02,20083959864,0,150,0,150,Zomato COD,103512029998,"Chicken Pahadi Tikka (QTY-1.000),Tandoori Roti Butter (QTY-2.000)"
Home Delivery,2018-06-02,20083960192,0,376,0,376,Zomato Online,249229172781,"Tandoori Roti (QTY-3.000),Hyderabadi Chicken Fry Piece Biryani (QTY-1.000),Butter Chicken (QTY-1.000)"
Home Delivery,2018-06-02,20083960520,0,480,0,480,Zomato COD,245837713199,"Chicken Garlic Tikka (QTY-1.000),Tandoori Chicken (QTY-1.000)"
Home Delivery,2018-06-02,20083960848,0,440,0,440,Zomato Online,69419591332,"Tandoori Roti Butter (QTY-4.000),Egg Biryani (QTY-1.000),Kadhai Paneer (QTY-1.000)"
Home Delivery,2018-06-02,20083961176,0,155,0,155,Zomato Online,249225351256,"Chilly Paneer (QTY-1.000),Butter nan (QTY-1.000),Garlic Nan (QTY-1.000)"
Home Delivery,2018-06-02,20083961504,0,216,0,216,Zomato COD,69428031144,"Tandoori Roti (QTY-8.000),Chicken Curry (QTY-1.000)"
Home Delivery,2018-06-02,20083961832,0,160,0,160,Zomato COD,283082170113,Hyderabadi Chicken Fry Piece Biryani (QTY-1.000)
Home Delivery,2018-06-02,20083962160,0,170,0,170,Zomato Online,248949283980,"Lachchha Paratha (QTY-2.000),Chicken Palak (QTY-1.000)"
Home Delivery,2018-06-02,20083962488,0,220,0,220,Zomato Online,249028086166,Chicken Curry (QTY-1.000)
Home Delivery,2018-06-02,20083962816,0,375,0,375,Zomato Online,194108736708,"Tandoori Roti Butter (QTY-7.000),Plain Rice (QTY-1.000),Egg Curry (QTY-1.000),Chicken Curry (QTY-1.000)"
Dine In,2018-06-02,20083963144,0,388,0,388,-,UnKnown,"Tandoori Roti (QTY-1.000),Tandoori Roti (QTY-1.000),Tandoori Roti (QTY-1.000),Tandoori Roti (QTY-1.000),Hyderabadi Chicken Fry Piece Biryani (QTY-1.000),Butter Chicken (QTY-1.000)"
Dine In,2018-06-02,20083963472,0,730,0,730,-,UnKnown,"Chicken Tikka (QTY-1.000),Tawa Roti (QTY-1.000),Tawa Roti (QTY-1.000),Tawa Roti (QTY-1.000),Tawa Roti (QTY-1.000),Tawa Roti (QTY-1.000),Tawa Roti (QTY-1.000),Tawa Roti (QTY-1.000),Tawa Roti (QTY-1.000),Tawa Roti (QTY-1.000),Tawa Roti (QTY-1.000),Tawa Roti (QTY-1.000),Tawa Roti (QTY-1.000),Tawa Roti (QTY-1.000),Tawa Roti (QTY-1.000),Tawa Roti (QTY-1.000),Chicken Tikka Masala (QTY-1.000),Cold Drink (QTY-1.000),Cold Drink (QTY-1.000)"
Take Away,2018-06-02,20083963800,0,590,0,590,-,304618623413,"Chicken Tikka (QTY-1.000),Chicken Amritsari Tikka (QTY-1.000),Fish Tikka (QTY-1.000)"
Take Away,2018-06-02,20083964128,0,240,0,240,-,302408281315,"Hyderabadi Chicken Fry Piece Biryani (QTY-1.000),water bottle (QTY-1.000),water bottle (QTY-1.000),Cold Drink (QTY-1.000)"
Dine In,2018-06-02,20083964456,0,330,0,330,-,UnKnown,"Chicken Malai Tikka (QTY-1.000),Hyderabadi Chicken Fry Piece Biryani (QTY-1.000),Cold Coffee (QTY-1.000)"
Dine In,2018-06-02,20083964784,0,120,0,120,-,UnKnown,Veg pulav (QTY-1.000)
Home Delivery,2018-06-02,20083965112,0,300,0,300,Zomato COD,282447111057,Hyderabadi Chicken Fry Piece Biryani (QTY-1.000)
Home Delivery,2018-06-02,20083965440,0,365,0,365,Zomato COD,249224693405,"Butter nan (QTY-3.000),Hyderabadi Chicken Fry Piece Biryani (QTY-1.000),Chicken Home Style (QTY-1.000)"
Take Away,2018-06-02,20083965768,43,387,0,387,-,38271357206,"Mutton Seekh Kebab (QTY-1.000),Fish Tikka (QTY-1.000)"
Home Delivery,2018-06-02,20083966096,0,350,0,350,Zomato COD,69428138404,"Chicken Amritsari Tikka (QTY-1.000),Chicken Kolhapuri (QTY-1.000)"
Home Delivery,2018-06-02,20083966424,0,345,0,345,Zomato Online,249225360897,"Tandoori Roti Butter (QTY-3.000),Chicken Kolhapuri (QTY-1.000)"
Home Delivery,2018-06-02,20083966752,0,225,0,225,Zomato Online,249229199689,"Tandoori Roti Butter (QTY-7.000),Chicken Curry (QTY-1.000)"
Home Delivery,2018-06-02,20083967080,0,290,0,290,Zomato COD,249023909133,"Tandoori Garlic Chicken (QTY-1.000),Garlic Nan (QTY-2.000)"
Dine In,2018-06-02,20083967408,0,496,0,496,-,UnKnown,"Tandoori Roti (QTY-1.000),Tandoori Roti (QTY-1.000),Tandoori Roti (QTY-1.000),Butter nan (QTY-1.000),Butter nan (QTY-1.000),Hyderabadi Keema Biryani (QTY-1.000),Dal Fry (QTY-1.000)"
Take Away,2018-06-02,20083967736,0,120,0,120,-,UnKnown,Butter Khichdhi (QTY-1.000)
Take Away,2018-06-02,20083968064,0,168,10,178,-,38271357206,"Tandoori Roti (QTY-1.000),Tandoori Roti (QTY-1.000),Tandoori Roti (QTY-1.000),Tandoori Roti (QTY-1.000),Chicken Curry (QTY-1.000)"
Take Away,2018-06-02,20083968392,0,450,20,470,-,38271357206,"Veg Biryani (QTY-1.000),Hyderabadi Chicken Tikka Biryani (QTY-1.000)"
Take Away,2018-06-02,20083968720,0,120,0,120,-,38271357206,Chicken Curry (QTY-1.000)
Take Away,2018-06-02,20083969048,0,182,10,192,-,38271357206,"Butter Tawa Roti (QTY-1.000),Butter Tawa Roti (QTY-1.000),Butter Tawa Roti (QTY-1.000),Butter Tawa Roti (QTY-1.000),Butter Tawa Roti (QTY-1.000),Butter Tawa Roti (QTY-1.000),Dal tadhka (QTY-1.000)"
Home Delivery,2018-06-02,20083969376,0,449,0,449,-,38271357206,"Tandoori Roti (QTY-1.000),Tandoori Roti (QTY-1.000),Tandoori Roti Butter (QTY-1.000),Tandoori Roti Butter (QTY-1.000),Tandoori Roti Butter (QTY-1.000),Butter Chicken (QTY-1.000),Paneer Punjabi (QTY-1.000)"
Take Away,2018-06-02,20083969704,0,580,0,580,-,UnKnown,"Tandoori Roti Butter (QTY-1.000),Tandoori Roti Butter (QTY-1.000),Tandoori Roti Butter (QTY-1.000),Tandoori Roti Butter (QTY-1.000),Tandoori Roti Butter (QTY-1.000),Tandoori Roti Butter (QTY-1.000),Plain Rice (QTY-1.000),Dal Makhani (QTY-1.000),Mutton Curry (QTY-1.000)"
Dine In,2018-06-02,20083970032,52.51,487.49,0,488,-,UnKnown,"Chicken Malai Tikka (QTY-1.000),Tandoori Chicken (QTY-1.000),Tandoori Roti Butter (QTY-1.000),Tandoori Roti Butter (QTY-1.000),Tandoori Roti Butter (QTY-1.000),Tandoori Roti Butter (QTY-1.000),Chicken Home Style (QTY-1.000)"
Dine In,2018-06-02,20083970360,0,722,0,722,-,UnKnown,"Tandoori Roti (QTY-1.000),Tandoori Roti (QTY-1.000),Tandoori Roti (QTY-1.000),Tandoori Roti (QTY-1.000),Tandoori Roti (QTY-1.000),Tandoori Roti (QTY-1.000),Jeera Rice (QTY-1.000),Chicken Curry (QTY-1.000),Mutton Rogan Josh (QTY-1.000),water bottle (QTY-1.000),water bottle (QTY-1.000),Cold Drink (QTY-1.000),Fish Tikka (QTY-1.000),Cold Drink s (QTY-1.000)"
Dine In,2018-06-02,20083970688,0,695,0,695,-,UnKnown,"Tandoori Roti Butter (QTY-1.000),Tandoori Roti Butter (QTY-1.000),Tandoori Roti Butter (QTY-1.000),Tandoori Roti Butter (QTY-1.000),Tandoori Roti Butter (QTY-1.000),Tandoori Roti Butter (QTY-1.000),Tandoori Roti Butter (QTY-1.000),Tandoori Roti Butter (QTY-1.000),Tandoori Roti Butter (QTY-1.000),Tandoori Roti Butter (QTY-1.000),Tandoori Roti Butter (QTY-1.000),Tandoori Roti Butter (QTY-1.000),Tandoori Roti Butter (QTY-1.000),Dal Fry (QTY-1.000),Cold Drink (QTY-1.000),Paneer Butter Masala (QTY-1.000),Mutton Bati (QTY-1.000),Cold Drink s (QTY-1.000)"
Home Delivery,2018-06-03,20083971016,0,320,0,320,Zomato Online,69430398986,Hyderabadi Mutton Dum Biryani (QTY-2.000)
Dine In,2018-06-03,20083971344,0,500,0,500,-,UnKnown,"cheese Chutney (QTY-1.000),cheese Chutney (QTY-1.000),cheese Chutney (QTY-1.000),water bottle (QTY-1.000),water bottle (QTY-1.000),water bottle (QTY-1.000),Cold Drink (QTY-1.000),Cold Drink (QTY-1.000),Cold Drink s (QTY-1.000),Cold Drink s (QTY-1.000),Cold Drink s (QTY-1.000),Cold Drink s (QTY-1.000),Cold Drink s (QTY-1.000),Cold Drink s (QTY-1.000)"
Dine In,2018-06-03,20083971672,0,680,0,680,-,UnKnown,"Fry Papad (QTY-1.000),Fry Papad (QTY-1.000),Butter nan (QTY-1.000),Butter nan (QTY-1.000),Butter nan (QTY-1.000),Butter nan (QTY-1.000),Egg Biryani (QTY-1.000),Butter Chicken (QTY-1.000),Chicken Kolhapuri (QTY-1.000),water bottle (QTY-1.000),water bottle (QTY-1.000)"
Take Away,2018-06-03,20083972000,0,180,20,200,-,306571221684,"Plain Rice (QTY-1.000),Chicken Home Style (QTY-1.000)"
Home Delivery,2018-06-03,20083972328,0,220,0,220,Zomato Online,35326910742,"Tandoori Roti Butter (QTY-4.000),Chicken Kolhapuri (QTY-1.000)"
Home Delivery,2018-06-03,20083972656,0,395,0,395,Zomato Online,249229192187,"Tandoori Roti Butter (QTY-3.000),Plain Rice (QTY-1.000),Dal Fry (QTY-1.000),Chicken Kolhapuri (QTY-1.000)"
Home Delivery,2018-06-03,20083972984,0,190,0,190,Zomato Online,69425466328,Chicken Malai Tikka (QTY-1.000)
Dine In,2018-06-03,20083973312,0,360,0,360,-,UnKnown,"Tandoori Roti Butter (QTY-1.000),Tandoori Roti Butter (QTY-1.000),Fish Fry (QTY-1.000),Plain Rice (QTY-1.000),Mutton Bhuna (QTY-1.000)"
